num_actions,prev_action,Target
1173,Click recarga monedero VIP,'Click on Button for purchase membership'
1017,Click Pop Up Home VIP,'Click on Button for purchase membership'
756,"Click on Recargas y Servicios category, VIP option",'Click on Button for purchase membership'
731,Product type VIP,'Click on Button for purchase membership'
552,Click VIP 100,'Click on Button for purchase membership'
487,"Click on VIP category, VIP option",'Click on Button for purchase membership'
262,Click on vip Tab,'Click on Button for purchase membership'
113,Clicked carousel image (https://tnc.undostres.com.mx/miembrosvip-100/?product_type=vip&utm_source=banner_mobile&utm_campaign=vip100_20231002_null),'Click on Button for purchase membership'
104,Click notificacion home VIP,'Click on Button for purchase membership'
61,No determinado,'Click on Button for purchase membership'
42,Clicked carousel image (https://tnc.undostres.com.mx/diavip/?product_type=vip&utm_source=banner&utm_medium=banner_app&utm_campaign=_DiaVIP_Warming_20231218_20231222),'Click on Button for purchase membership'
24,Clicked carousel image (https://tnc.undostres.com.mx/diavip/?utm_source=banner&utm_medium=banner_mobile&utm_campaign=DiaVIP_20231222_20231222),'Click on Button for purchase membership'
23,"Click on VIP category, VIP option",'Click on Button for purchase membership'
3,click on Banner VIP from Home.,'Click on Button for purchase membership'
1,Clicked carousel image (undefined),'Click on Button for purchase membership'
